metric,value
file,passion2_normalized.txt
characters_total,257388
characters_no_spaces,191383
lines_total,6035
lines_non_empty,3100
paragraphs,2936
korean_ratio_percent,99.8391
chinese_ratio_percent,0.0
japanese_ratio_percent,0.0
english_ratio_percent,0.1024
dialogue_ratio_percent,35.6774
chapter_count_estimated,5
character_candidate_count,80
term_candidate_count,2
repeated_paragraph_count,1
repeated_sentence_count,0
corruption_level,clean
corruption_score,0
