metric,value
file,passion1_normalized.txt
characters_total,256193
characters_no_spaces,190009
lines_total,7357
lines_non_empty,3692
paragraphs,3666
korean_ratio_percent,99.7425
chinese_ratio_percent,0.0034
japanese_ratio_percent,0.0
english_ratio_percent,0.1008
dialogue_ratio_percent,37.2698
chapter_count_estimated,15
character_candidate_count,80
term_candidate_count,1
repeated_paragraph_count,0
repeated_sentence_count,0
corruption_level,clean
corruption_score,0
