metric,value
file,passion4_normalized.txt
characters_total,221929
characters_no_spaces,166496
lines_total,5160
lines_non_empty,2585
paragraphs,2576
korean_ratio_percent,99.6844
chinese_ratio_percent,0.0039
japanese_ratio_percent,0.0
english_ratio_percent,0.2044
dialogue_ratio_percent,31.1799
chapter_count_estimated,0
character_candidate_count,80
term_candidate_count,3
repeated_paragraph_count,0
repeated_sentence_count,0
corruption_level,clean
corruption_score,0
