metric,value
file,passion3_normalized.txt
characters_total,262210
characters_no_spaces,196991
lines_total,5853
lines_non_empty,2936
paragraphs,2918
korean_ratio_percent,99.7274
chinese_ratio_percent,0.0005
japanese_ratio_percent,0.0
english_ratio_percent,0.1988
dialogue_ratio_percent,39.5777
chapter_count_estimated,0
character_candidate_count,80
term_candidate_count,2
repeated_paragraph_count,0
repeated_sentence_count,0
corruption_level,clean
corruption_score,0
