metric,value
file,passion6_normalized.txt
characters_total,25069
characters_no_spaces,18732
lines_total,687
lines_non_empty,344
paragraphs,344
korean_ratio_percent,99.9536
chinese_ratio_percent,0.0
japanese_ratio_percent,0.0
english_ratio_percent,0.0
dialogue_ratio_percent,31.3953
chapter_count_estimated,4
character_candidate_count,80
term_candidate_count,0
repeated_paragraph_count,0
repeated_sentence_count,0
corruption_level,clean
corruption_score,0
