metric,value
file,passion5_normalized.txt
characters_total,242005
characters_no_spaces,181655
lines_total,6765
lines_non_empty,3385
paragraphs,3381
korean_ratio_percent,99.6734
chinese_ratio_percent,0.0024
japanese_ratio_percent,0.0
english_ratio_percent,0.2119
dialogue_ratio_percent,34.1507
chapter_count_estimated,0
character_candidate_count,80
term_candidate_count,1
repeated_paragraph_count,0
repeated_sentence_count,0
corruption_level,clean
corruption_score,0
